Wavelength,Intensity
567.2511822,-0.571987975
575.5784673,-0.288958683
583.905674,-0.015916852
599.6157156,3.674819651
604.975763,7.528011544
608.6073344,11.0503361
610.7804244,14.71378445
612.5957662,18.71410189
614.3434165,22.50807692
615.4801671,26.33589591
616.6538268,30.65715768
617.8295527,35.24166589
619.1392472,39.67600897
620.0327758,44.46583285
620.7578231,48.45244332
621.4115393,52.37028143
622.537525,56.32979196
623.2738826,60.91557037
624.1061784,65.93928104
624.93854,70.97138117
625.5326842,75.95781337
626.1771148,82.7641598
628.1047251,88.34171274
628.774382,93.65599249
631.3320121,99.4980703
633.7957651,93.38020236
634.3798894,87.79764264
634.5913965,79.89240124
634.832712,73.90479738
635.5447631,68.65987871
635.7434367,63.66767135
636.2488932,59.51980492
636.3312075,55.57652936
637.0351942,51.46871704
637.49566,47.00033777
637.7599946,42.7975207
638.1271631,39.06940988
638.7856888,34.58115994
639.3784337,30.12999532
640.3966938,25.17530569
641.5488957,20.44966478
642.6537997,16.0114619
644.0828573,12.18551968
646.0114471,8.166786164
649.4850862,4.577503245
656.0657188,1.1936757
664.3798719,-0.196305771
672.7026258,-0.490551751
681.0263988,-0.654960732
685.9814653,-0.696798317
