Wavelength,Intensity
577.9477773,0.023511314
581.267626,0.024393702
584.5882272,0.025077711
587.9070725,0.026224605
591.2261687,0.027305372
594.5465191,0.028055507
597.8623543,0.02999592
601.1638916,0.035705546
604.4461141,0.046506915
607.103706,0.062689598
609.0019743,0.079940381
609.9854185,0.099431402
610.8185819,0.118718502
611.6494459,0.138611761
612.6038006,0.160082639
613.3080862,0.179212267
613.887661,0.198982142
614.4198029,0.217982629
614.9036447,0.236442338
615.3825198,0.256211352
615.9050043,0.277757712
616.4806866,0.298553729
616.9900646,0.3235552
617.4959936,0.349465912
617.9995082,0.376013091
618.4999187,0.403378586
618.9989495,0.431107777
619.4945313,0.459746208
619.9880436,0.488930183
620.4891439,0.516113831
620.9912789,0.543024706
621.2509937,0.567474151
621.4285714,0.587029292
621.6550931,0.606955488
621.9171284,0.628896977
622.1373056,0.652391908
622.3467837,0.674914881
622.547991,0.700092231
622.7461153,0.727504502
622.9442396,0.754916774
623.1444334,0.781783501
623.301366,0.810099493
623.4991946,0.837589699
623.7796531,0.863207517
623.8628531,0.889628258
624.2229569,0.915582629
624.3274439,0.937813862
624.6035533,0.957941387
624.8813182,0.977632476
625.2272959,0.99726076
626.4321242,1.022502197
627.82701,0.997640874
628.1938123,0.976661219
628.6659968,0.948892084
629.1728408,0.923363389
629.3518882,0.903468768
629.802908,0.88810545
629.9217531,0.870049241
630.2003064,0.849711698
630.7170096,0.83030659
630.8452755,0.812421577
631.1608553,0.788959927
631.5048611,0.763693342
631.9191082,0.738398038
632.3238317,0.711346835
632.7289001,0.684204708
633.1974102,0.658826364
633.6457116,0.631664566
634.0322929,0.609395965
634.4021118,0.59154627
634.7294251,0.571628274
635.1086255,0.551305447
635.5929271,0.532477838
636.1094464,0.513121222
636.5801883,0.495213505
636.9500072,0.47736381
637.3181706,0.459950551
638.0129705,0.436071281
638.7184527,0.409375966
639.1559127,0.389623099
639.784461,0.367280708
640.4873317,0.341273817
641.1820725,0.317410135
641.6133046,0.299299096
642.225859,0.28117298
642.8975403,0.263388216
643.5255991,0.243829571
644.2072006,0.22342966
644.8832836,0.204484533
645.5566073,0.186266797
646.3981963,0.166830348
647.1961431,0.149607293
648.2303247,0.131830478
649.2069693,0.113293195
650.1840738,0.09463468
651.4190536,0.077681734
653.9388932,0.060492106
657.0042097,0.048832429
660.3536577,0.041911885
663.6890585,0.038694427
667.0141749,0.038188158
670.3390404,0.037748015
673.6626517,0.037638505
675.4760551,0.037440507
